gps_id,user_id,latitude,longitude,date_time,speed,bearing,accuracy,provider,address,driving_distance,gps_for,idle_status,last_modified_date_time
1242777,1355,22.28882332,88.02262525,07-09-2022 03:24,0,0,16,network,"Kathilabar, West Bengal 711314, Kathilabar, West Bengal,India",0,movement,Idle,24-03-2017 21:49
3232164,1355,22.5828313,88.3066731,01-09-2019 10:30,13.86,19.6,25.789,gps,", Howrah, West Bengal,India",0,punchIn,Idle,01-09-2019 10:30
3232165,1355,22.5828313,88.3066731,01-09-2019 10:30,13.86,19.6,25.789,gps,", Howrah, West Bengal,India",0,movement,Idle,01-09-2019 10:30
3232166,1355,22.5842056,88.3076475,01-09-2019 10:31,0,0,0,fused,", Howrah, West Bengal,India",0.183,activity,NA,01-09-2019 10:31
3232168,1355,22.58009293,88.32923046,01-09-2019 10:45,4.37,112.6,4.551,gps,", Howrah, West Bengal,India",2.512,movement,Idle,01-09-2019 10:45
3232169,1355,22.58009293,88.32923046,01-09-2019 10:50,0,0,0,na,", Howrah, West Bengal,India",0,activity,Idle,01-09-2019 10:50
3232170,1355,22.5820645,88.33113166,01-09-2019 10:50,0.35,30.3,4.551,gps,", Howrah, West Bengal,India",0.51,movement,NA,01-09-2019 10:50
3232172,1355,22.59252762,88.32685366,01-09-2019 11:05,7.69,97,4.551,gps,", Howrah, West Bengal,India",2.115,movement,Idle,01-09-2019 11:05
3232174,1355,22.59252762,88.32685366,01-09-2019 11:20,0,0,4.551,network,", Howrah, West Bengal,India",0,movement,Idle,01-09-2019 11:20
3232176,1355,22.59252762,88.32685366,01-09-2019 11:35,0,0,4.551,gps,", Howrah, West Bengal,India",0,movement,Idle,01-09-2019 11:36
3232179,1355,22.59252762,88.32685366,01-09-2019 11:50,0,0,4.551,gps,", Howrah, West Bengal,India",0,movement,Idle,01-09-2019 11:50
3232199,1355,22.59044954,88.33216629,01-09-2019 12:05,1.75,130.6,13.653,gps,", Howrah, West Bengal,India",0.606,movement,NA,01-09-2019 12:05
3232201,1355,22.582934,88.3329927,01-09-2019 12:20,0,0,21.563,network,", Howrah, West Bengal,India",3.407,movement,Idle,01-09-2019 12:20
3232203,1355,22.582934,88.3329927,01-09-2019 12:35,0,0,21.563,network,", Howrah, West Bengal,India",0,movement,Idle,01-09-2019 12:35
3232206,1355,22.582934,88.3329927,01-09-2019 12:55,0,0,21.563,network,", Howrah, West Bengal,India",0,movement,Idle,01-09-2019 12:55
3232207,1355,22.5839789,88.3338018,01-09-2019 12:55,0,0,0,fused,", Howrah, West Bengal,India",0.224,activity,NA,01-09-2019 12:55
3232210,1355,22.59252434,88.3270599,01-09-2019 13:10,0.21,293.4,4.551,gps,", Howrah, West Bengal,India",1.703,movement,NA,01-09-2019 13:09
3232212,1355,22.58450088,88.30808423,01-09-2019 13:25,0,0,15.17,gps,", Howrah, West Bengal,India",2.611,movement,NA,01-09-2019 13:25
3232213,1355,22.58247344,88.29434943,01-09-2019 13:34,6.75,307.1,13.653,gps,", Howrah, West Bengal,India",4.523,movement,NA,01-09-2019 13:34
3232214,1355,22.58296332,88.29357044,01-09-2019 13:34,0,0,0,fused,", Howrah, West Bengal,India",0,activity,NA,01-09-2019 13:34
3232232,1355,22.6035637,88.23972837,01-09-2019 13:49,1.16,344.4,13.653,gps,", Howrah, West Bengal,India",9.056,movement,NA,01-09-2019 13:49
3232234,1355,22.5730226,88.18322182,01-09-2019 14:04,14.84,267.6,13.653,gps,", Howrah, West Bengal,India",6.918,movement,NA,01-09-2019 14:04
3232236,1355,22.49149441,88.11557006,01-09-2019 14:19,24.16,238.8,15.17,gps,", Howrah, West Bengal,India",12.537,movement,NA,01-09-2019 14:19
3232238,1355,22.44239396,88.10535159,01-09-2019 14:34,11.17,223.3,4.551,gps,", Kalinagar, West Bengal,India",7.418,movement,NA,01-09-2019 14:34
